"Sample","SampleP","Unit","MFRBlockHz","MeanAmpBlock","ACGViolationRatio","tf_MIFRBlockHz","tf_MedIsi","tf_ModeIsi","tf_Perc5Isi","tf_Entropy","tf_CV2Mean","tf_CV2Median","tf_CV","tf_Ir","tf_Lv","tf_LvR","tf_Si","tf_skw","wf_RiseTime","wf_PosDecayTime","wf_FallTime","wf_NegDecayTime","wf_MaxAmpNorm","wf_Duration","wf_PosHwDuration","wf_NegHwDuration","wf_Onset","wf_End","wf_Crossing","wf_Pk10","wf_Pk90","wf_Pk50","wf_PkTrRatio","wf_DepolarizationSlope","wf_RepolarizationSlope","wf_RecoverySlope","wf_EndSlopeTau","Cluster_x","Cluster_y","SmallCluster","SmallClusterName","RespPk","RespGo","RespGr","RespMF","RespMLI","ClusterACG","Cluster","ClusterNo","NewCluster"
"18-08-30_YC002_probe1","18-08-30_YC002",142,27.03,15.16,0.01,38.267,0.035,0,0.01,7.045,0.41,0.339,0.525,0.434,0.202,10.829,0.017,0.884,0.050308009,0.095851537,0.076784685,0.086058842,0.25689787,0.2,0.201272952,0.2,-0.007174913,-0.008675615,-0.015978955,0.025689787,0.23120808,0.128448933,0.257,-8.57308259,7.832162634,-0.950841419,0.118739746,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1,3
"18-08-30_YC002_probe1","18-08-30_YC002",205,69.28,14.08,0,67.408,0.016,0,0.007,6.11,0.601,0.533,0.925,0.666,0.402,28.099,0.036,2.459,0.05510948,0.127681194,0.111509049,0.14309677,0.26253814,0.3,0.842664005,0.2,-0.11471519,0.021629008,0.017508539,0.026253814,0.236284322,0.131269068,0.263,-4.963141397,5.296604548,-0.221204518,0.606165711,1,NA,1,"Purkinke",0,0,0,0,0,5,"Pk",1,1
"18-08-30_YC002_probe1","18-08-30_YC002",210,72.89,14.27,0,91.217,0.011,0,0.006,6.768,0.485,0.417,0.547,0.518,0.268,29.097,0.022,1.605,0.075225979,0.118346785,0.148986115,0.189308193,0.34139982,0.33,0.50081584,0.23,-0.12835716,0.15410687,-0.026974779,0.034139982,0.307259837,0.170699909,0.341,-6.247678219,4.860842817,-0.51424922,0.447238031,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,1
"18-08-30_YC002_probe1","18-08-30_YC002",31,22.14,14.1,0.01,30.69,0.036,0,0.016,6.742,0.386,0.311,0.646,0.405,0.181,6.766,0.015,1.672,0.056364894,0.09631619,0.076828562,0.084988965,0.27211764,0.2,0.250829308,0.1,-0.014384797,0.001214605,0.00374632,0.027211764,0.24490588,0.136058822,0.272,-10.47175795,7.457698124,-0.763933968,0.175291315,1,NA,1,"Purkinke",0,0,0,0,0,3,"Pk",1,3
"18-08-30_YC002_probe1","18-08-30_YC002",327,74.39,21.46,0.01,100.659,0.01,0,0.006,6.062,0.456,0.356,0.744,0.492,0.259,26.437,0.022,2.66,0.047497577,0.094572118,0.096844575,0.116764159,0.28919095,0.23,0.381711291,0.13,-0.06437216,0.1014193,-0.001983005,0.028919095,0.260271853,0.144595474,0.289,-5.894976045,6.854314012,-0.574192534,0.468926874,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,1
"18-08-31_YC003_probe1","18-08-31_YC003",102,55.53,15.39,0.01,101.684,0.013,0,0.004,6.405,0.761,0.736,0.853,0.882,0.607,60.971,0.058,1.693,0.197683275,0.423620924,0.184701825,0.259368669,0.26531246,0.77,0.78794546,0.4,-0.22169033,0.015404488,0.058822302,0.026531246,0.238781217,0.132656232,0.265,-0.566651209,3.830999945,-0.225425625,0.372540892,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,1
"18-08-31_YC003_probe1","18-08-31_YC003",201,87.02,22.3,0,110.641,0.008,0,0.006,6.379,0.453,0.35,0.609,0.486,0.259,30.123,0.022,1.849,0.070558624,0.139887537,0.119912923,0.16013823,0.3997424,0.33,0.51201618,0.3,-0.076480746,0.17579995,0.006927857,0.039974239,0.359768155,0.199871197,0.4,-2.050598685,5.271427989,-0.571272504,0.461487744,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,1
"18-08-31_YC003_probe1","18-08-31_YC003",231,87.62,16.26,0,111.19,0.009,0,0.006,5.916,0.374,0.263,0.671,0.397,0.19,21.559,0.016,2.72,0.036753373,0.081889368,0.078016258,0.102611569,0.30670217,0.2,0.275630685,0.1,-0.012035763,0.04952898,-0.020925818,0.030670217,0.27603195,0.153351083,0.307,-7.893203088,8.580791125,-0.72813506,0.25291768,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,1
"18-08-31_YC003_probe1","18-08-31_YC003",257,70.98,16.38,0.01,84.616,0.012,0,0.008,6.126,0.375,0.292,0.547,0.394,0.177,17.329,0.014,2.595,0.102454227,0.156806743,0.181175698,0.216884814,0.37832737,0.4,0.388033608,0.23,-0.07458551,0.10597209,-0.016271292,0.037832737,0.340494633,0.189163685,0.378,-6.333750217,4.049827615,-0.724145826,0.331608982,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,1
"18-08-31_YC003_probe1","18-08-31_YC003",292,126.49,16.25,0,152.967,0.006,0,0.004,5.866,0.367,0.26,0.645,0.388,0.183,28.923,0.015,2.797,0.059224208,0.128153459,0.11364915,0.143914888,0.3098777,0.3,0.45069613,0.2,-0.010564842,0.114577465,0.025468085,0.030987769,0.278889924,0.154938847,0.31,-5.917143385,5.479288294,-0.507248204,0.387713167,1,NA,1,"Purkinke",0,0,0,0,0,4,"Pk",1,2
